Yaş,İşten Ayrılma,İş Seyahati,Günlük Ücret,Departman,Evden Uzaklık,Eğitim Seviyesi,Eğitim Alanı,Çalışan Sayısı,Sicil No,Çevresel Memnuniyet,Cinsiyet,Saat Ücreti,İşe Katılım,İş Seviyesi,İş Rolü,İş Memnuniyeti,Medeni Durum,Aylık Gelir,Aylık Ücret,Daha Önce Çalışılan İşyeri Sayısı,Fazla Mesai,Ücret Artış Yüzdesi,Performans Skoru,İş Arkadaşlarından  Memnuniyeti,Standart Çalışma Saati,Hisse Seçeneği Seviyesi,Kıdem,Geçen Yıl Katılınan Eğitim Sayısı,İş-Yaşam Dengesi Skoru,Şirketteki Kıdemi,Mevcut Pozisyonda Geçen Yıl,Son Terfiden Bu Yana Geçen Yıl,Mevcut Yöneticiyle Geçen Yıl
41,Evet,Seyrek Seyahat,1102,Satış,1,2,Fen Bilimleri,1,1,2,Kadın,94,3,2,Satış Yöneticisi,4,Bekar,5993,19479,8,Evet,11,3,1,80,0,8,0,1,6,4,0,5
49,Hayır,Sık Seyahat,279,Araştırma ve Geliştirme,8,1,Fen Bilimleri,1,2,3,Erkek,61,2,2,Araştırma Bilimcisi,2,Evli,5130,24907,1,Hayır,23,4,4,80,1,10,3,3,10,7,1,7
37,Evet,Seyrek Seyahat,1373,Araştırma ve Geliştirme,2,2,Diğer,1,4,4,Erkek,92,2,1,Laboratuvar Teknikeri,3,Bekar,2090,2396,6,Evet,15,3,2,80,0,7,3,3,0,0,0,0
33,Hayır,Sık Seyahat,1392,Araştırma ve Geliştirme,3,4,Fen Bilimleri,1,5,4,Kadın,56,3,1,Araştırma Bilimcisi,3,Evli,2909,23159,1,Evet,11,3,3,80,0,8,3,3,8,7,3,0
27,Hayır,Seyrek Seyahat,591,Araştırma ve Geliştirme,2,1,Tıp,1,7,1,Erkek,40,3,1,Laboratuvar Teknikeri,2,Evli,3468,16632,9,Hayır,12,3,4,80,1,6,3,3,2,2,2,2
32,Hayır,Sık Seyahat,1005,Araştırma ve Geliştirme,2,2,Fen Bilimleri,1,8,4,Erkek,79,3,1,Laboratuvar Teknikeri,4,Bekar,3068,11864,0,Hayır,13,3,3,80,0,8,2,2,7,7,3,6
59,Hayır,Seyrek Seyahat,1324,Araştırma ve Geliştirme,3,3,Tıp,1,10,3,Kadın,81,4,1,Laboratuvar Teknikeri,1,Evli,2670,9964,4,Evet,20,4,1,80,3,12,3,2,1,0,0,0
30,Hayır,Seyrek Seyahat,1358,Araştırma ve Geliştirme,24,1,Fen Bilimleri,1,11,4,Erkek,67,3,1,Laboratuvar Teknikeri,3,Boşanmış,2693,13335,1,Hayır,22,4,2,80,1,1,2,3,1,0,0,0
38,Hayır,Sık Seyahat,216,Araştırma ve Geliştirme,23,3,Fen Bilimleri,1,12,4,Erkek,44,2,3,Üretim Direktörü,3,Bekar,9526,8787,0,Hayır,21,4,2,80,0,10,2,3,9,7,1,8
36,Hayır,Seyrek Seyahat,1299,Araştırma ve Geliştirme,27,3,Tıp,1,13,3,Erkek,94,3,2,Sağlık Temsilcisi,3,Evli,5237,16577,6,Hayır,13,3,2,80,2,17,3,2,7,7,7,7
35,Hayır,Seyrek Seyahat,809,Araştırma ve Geliştirme,16,3,Tıp,1,14,1,Erkek,84,4,1,Laboratuvar Teknikeri,2,Evli,2426,16479,0,Hayır,13,3,3,80,1,6,5,3,5,4,0,3
29,Hayır,Seyrek Seyahat,153,Araştırma ve Geliştirme,15,2,Fen Bilimleri,1,15,4,Kadın,49,2,2,Laboratuvar Teknikeri,3,Bekar,4193,12682,0,Evet,12,3,4,80,0,10,3,3,9,5,0,8
31,Hayır,Seyrek Seyahat,670,Araştırma ve Geliştirme,26,1,Fen Bilimleri,1,16,1,Erkek,31,3,1,Araştırma Bilimcisi,3,Boşanmış,2911,15170,1,Hayır,17,3,4,80,1,5,1,2,5,2,4,3
34,Hayır,Seyrek Seyahat,1346,Araştırma ve Geliştirme,19,2,Tıp,1,18,2,Erkek,93,3,1,Laboratuvar Teknikeri,4,Boşanmış,2661,8758,0,Hayır,11,3,3,80,1,3,2,3,2,2,1,2
28,Evet,Seyrek Seyahat,103,Araştırma ve Geliştirme,24,3,Fen Bilimleri,1,19,3,Erkek,50,2,1,Laboratuvar Teknikeri,3,Bekar,2028,12947,5,Evet,14,3,2,80,0,6,4,3,4,2,0,3
29,Hayır,Seyrek Seyahat,1389,Araştırma ve Geliştirme,21,4,Fen Bilimleri,1,20,2,Kadın,51,4,3,Üretim Direktörü,1,Boşanmış,9980,10195,1,Hayır,11,3,3,80,1,10,1,3,10,9,8,8
32,Hayır,Seyrek Seyahat,334,Araştırma ve Geliştirme,5,2,Fen Bilimleri,1,21,1,Erkek,80,4,1,Araştırma Bilimcisi,2,Boşanmış,3298,15053,0,Evet,12,3,4,80,2,7,5,2,6,2,0,5
22,Hayır,Seyahat Etmez,1123,Araştırma ve Geliştirme,16,2,Tıp,1,22,4,Erkek,96,4,1,Laboratuvar Teknikeri,4,Boşanmış,2935,7324,1,Evet,13,3,2,80,2,1,2,2,1,0,0,0
53,Hayır,Seyrek Seyahat,1219,Satış,2,4,Fen Bilimleri,1,23,1,Kadın,78,2,4,Yönetici,4,Evli,15427,22021,2,Hayır,16,3,3,80,0,31,3,3,25,8,3,7
38,Hayır,Seyrek Seyahat,371,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,24,4,Erkek,45,3,1,Araştırma Bilimcisi,4,Bekar,3944,4306,5,Evet,11,3,3,80,0,6,3,3,3,2,1,2
24,Hayır,Seyahat Etmez,673,Araştırma ve Geliştirme,11,2,Diğer,1,26,1,Kadın,96,4,2,Üretim Direktörü,3,Boşanmış,4011,8232,0,Hayır,18,3,4,80,1,5,5,2,4,2,1,3
36,Evet,Seyrek Seyahat,1218,Satış,9,4,Fen Bilimleri,1,27,3,Erkek,82,2,1,Satış Temsilcisi,1,Bekar,3407,6986,7,Hayır,23,4,2,80,0,10,4,3,5,3,0,3
34,Hayır,Seyrek Seyahat,419,Araştırma ve Geliştirme,7,4,Fen Bilimleri,1,28,1,Kadın,53,3,3,Araştırma Direktörü,2,Bekar,11994,21293,0,Hayır,11,3,3,80,0,13,4,3,12,6,2,11
21,Hayır,Seyrek Seyahat,391,Araştırma ve Geliştirme,15,2,Fen Bilimleri,1,30,3,Erkek,96,3,1,Araştırma Bilimcisi,4,Bekar,1232,19281,1,Hayır,14,3,4,80,0,0,6,3,0,0,0,0
34,Evet,Seyrek Seyahat,699,Araştırma ve Geliştirme,6,1,Tıp,1,31,2,Erkek,83,3,1,Araştırma Bilimcisi,1,Bekar,2960,17102,2,Hayır,11,3,3,80,0,8,2,3,4,2,1,3
53,Hayır,Seyrek Seyahat,1282,Araştırma ve Geliştirme,5,3,Diğer,1,32,3,Kadın,58,3,5,Yönetici,3,Boşanmış,19094,10735,4,Hayır,11,3,4,80,1,26,3,2,14,13,4,8
32,Evet,Sık Seyahat,1125,Araştırma ve Geliştirme,16,1,Fen Bilimleri,1,33,2,Kadın,72,1,1,Araştırma Bilimcisi,1,Bekar,3919,4681,1,Evet,22,4,2,80,0,10,5,3,10,2,6,7
42,Hayır,Seyrek Seyahat,691,Satış,8,4,Pazarlama,1,35,3,Erkek,48,3,2,Satış Yöneticisi,2,Evli,6825,21173,0,Hayır,11,3,4,80,1,10,2,3,9,7,4,2
44,Hayır,Seyrek Seyahat,477,Araştırma ve Geliştirme,7,4,Tıp,1,36,1,Kadın,42,2,3,Sağlık Temsilcisi,4,Evli,10248,2094,3,Hayır,14,3,4,80,1,24,4,3,22,6,5,17
46,Hayır,Seyrek Seyahat,705,Satış,2,4,Pazarlama,1,38,2,Kadın,83,3,5,Yönetici,1,Bekar,18947,22822,3,Hayır,12,3,4,80,0,22,2,2,2,2,2,1
33,Hayır,Seyrek Seyahat,924,Araştırma ve Geliştirme,2,3,Tıp,1,39,3,Erkek,78,3,1,Laboratuvar Teknikeri,4,Bekar,2496,6670,4,Hayır,11,3,4,80,0,7,3,3,1,1,0,0
44,Hayır,Seyrek Seyahat,1459,Araştırma ve Geliştirme,10,4,Diğer,1,40,4,Erkek,41,3,2,Sağlık Temsilcisi,4,Evli,6465,19121,2,Evet,13,3,4,80,0,9,5,4,4,2,1,3
