il,ilce,kaza_sayisi,olumlu_kaza,yaralanma,kaza_tarihi,sektor,is_seviyesi
İstanbul,Kadıköy,15,0,15,2024-01,İnşaat,İşçi
İstanbul,Şişli,8,1,7,2024-01,İmalat,İşçi
Ankara,Çankaya,12,0,12,2024-01,İnşaat,İşçi
İzmir,Konak,6,0,6,2024-01,Lojistik,İşçi
Bursa,Osmangazi,10,1,9,2024-02,İmalat,İşçi
Antalya,Muratpaşa,5,0,5,2024-02,Turizm,İşçi
Adana,Seyhan,14,2,12,2024-02,Tarım,İşçi
Konya,Selçuklu,9,0,9,2024-02,İnşaat,İşçi
Gaziantep,Şahinbey,11,1,10,2024-03,İmalat,İşçi
Şanlıurfa,Eyyübiye,7,0,7,2024-03,Tarım,İşçi
Kocaeli,İzmit,13,1,12,2024-03,İmalat,İşçi
Mersin,Akdeniz,8,0,8,2024-03,Lojistik,İşçi
Diyarbakır,Bağlar,6,1,5,2024-04,İnşaat,İşçi
Hatay,Antakya,9,0,9,2024-04,İnşaat,İşçi
Manisa,Yunusemre,5,0,5,2024-04,Tarım,İşçi
Kayseri,Kocasinan,7,0,7,2024-04,İmalat,İşçi
Samsun,İlkadım,10,1,9,2024-05,Lojistik,İşçi
Balıkesir,Karesi,4,0,4,2024-05,Tarım,İşçi
Van,İpekyolu,8,2,6,2024-05,İnşaat,İşçi
Aydın,Efeler,6,0,6,2024-05,Tarım,İşçi
Denizli,Pamukkale,9,0,9,2024-06,İmalat,İşçi
Tekirdağ,Süleymanpaşa,5,0,5,2024-06,Tarım,İşçi
Malatya,Yeşilyurt,7,1,6,2024-06,İnşaat,İşçi
Trabzon,Ortahisar,3,0,3,2024-06,Lojistik,İşçi
Ordu,Altınordu,4,0,4,2024-07,Tarım,İşçi
Erzurum,Yakutiye,6,1,5,2024-07,İnşaat,İşçi
Sakarya,Adapazarı,11,0,11,2024-07,İmalat,İşçi
Kahramanmaraş,Onikişubat,8,1,7,2024-07,İmalat,İşçi
Mardin,Artuklu,5,0,5,2024-08,Tarım,İşçi
Muğla,Menteşe,7,0,7,2024-08,Turizm,İşçi
İstanbul,Kadıköy,18,1,17,2024-08,İmalat,İşçi
Ankara,Keçiören,9,0,9,2024-08,İnşaat,İşçi
İzmir,Bornova,7,0,7,2024-09,İmalat,İşçi
Bursa,Nilüfer,6,0,6,2024-09,İmalat,İşçi
Antalya,Kepez,8,0,8,2024-09,İnşaat,İşçi
Adana,Çukurova,12,2,10,2024-09,Tarım,İşçi
Konya,Meram,10,1,9,2024-10,İmalat,İşçi
Gaziantep,Şehitkamil,9,0,9,2024-10,İmalat,İşçi
Şanlıurfa,Haliliye,8,1,7,2024-10,İnşaat,İşçi
Kocaeli,Gebze,15,1,14,2024-10,İmalat,İşçi
