Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
1;1;TÜPRAŞ-Türkiye Petrol Rafinerileri A.Ş.;2023;484.188.208.633;1;541.817.496.164;1;1;150.308.439.881;1;1;170.510.642.812;3;2;322.634.183.203;2;2;63.848.248.297;1;1;78.162.148.765;1;1;6.206.138;2;2;5.095;26;23;Kocaeli Sanayi Odası;-;53,22;-;46,78;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19;Petrol Ürünleri Sanayi;353;www.tupras.com.tr;İstanbul;Şişli;Gülbahar Mah. Büyükdere Cad. No.101A ;(212) 8789000;(212) 8789935;info@tupras.com.tr;34394
2;3;Ford Otomotiv Sanayi A.Ş.;2023;238.014.338.237;2;270.364.472.951;2;2;53.327.364.569;4;4;56.996.293.892;14;12;165.984.984.928;10;8;32.017.901.771;2;2;40.826.332.008;3;3;7.208.262;1;1;16.817;2;2;İstanbul Sanayi Odası;-;41,07;41,04;17,89;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.fordotosan.com.tr;İstanbul;Sancaktepe;Akpınar Mah. Hasan Basri Cad. No.2 ;(262) 3155000;(262) 3156934;maliisler@ford.com.tr;34885
3;2;Star Rafineri A.Ş.;2023;226.774.747.074;3;226.774.747.074;4;4;79.986.580.198;3;3;296.167.960.537;1;1;390.176.284.135;1;1;25.811.227.520;4;4;56.358.796.250;2;2;3.381.419;4;4;1.123;211;200;Ege Bölgesi Sanayi Odası;-;99,99;0,01;-;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19;Petrol Ürünleri Sanayi;353;www.starrafineri.com.tr;İstanbul;Sarıyer;Ayazağa Mah. Azerbaycan Cad. Vadistanbul Socar Plaza 1D Blok Apt. No.3 E/1;(212) 3050000;-;star.kurumsal@socar.com.tr;34485
4;4;İstanbul Altın Rafinerisi A.Ş.;2023;142.530.681.427;4;262.047.248.469;3;3;315.124.618;467;454;1.903.756.692;369;356;3.719.489.823;396;383;127.906.034;347;337;-78.144.321;493;481;1.600.097;9;9;235;465;452;İstanbul Sanayi Odası;-;100,00;-;-;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1;"Diğer İmalat Sanayi
";390;www.iar.com.tr;İstanbul;Bahçelievler;Kuyumcukent Kompleksi 7 No.lu Fabrika Yenibosna;(212) 6030101;-;muhasebe@iar.com.tr;-
5;7;Toyota Otomotiv Sanayi Türkiye A.Ş.;2023;127.450.181.339;5;128.995.255.432;7;6;-;-;-;27.201.268.269;34;31;43.335.728.854;39;35;-;-;-;-;-;-;4.088.117;3;3;4.113;44;40;Sakarya Ticaret ve Sanayi Odası;-;-;100,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.toyotatr.com;Sakarya;Arifiye;Toyota Cad. No.2 ;(264) 2950295;-;iletisim@toyotatr.com;54580
6;9;Oyak-Renault Otomobil Fabrikaları A.Ş.;2023;107.208.501.270;6;119.369.353.683;9;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.269.253;5;5;5.942;20;19;İstanbul Sanayi Odası;-;49,00;51,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.oyakrenault.com.tr;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. Casper Plaza No.47 K.1;(507) 2284456;(507) 2283445;hazine@renault.com;34770
7;8;Arçelik A.Ş.;2023;99.861.023.084;7;130.437.244.673;6;5;16.078.614.865;18;16;-;-;-;-;-;-;9.240.983.816;18;15;19.547.075.618;8;8;2.241.747;7;7;-;-;-;İstanbul Sanayi Odası;-;74,85;-;25,15;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.arcelik.com;İstanbul;Beyoğlu;Karaağaç Cad. No.2-6 Sütlüce;(212) 3143434;(212) 3143959;arall-maliislervergiler@arcelik.com;34450
8;15;Mercedes-Benz Türk A.Ş.;2023;94.255.319.762;8;95.754.842.269;12;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;7,96;7,05;84,99;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.mercedesbenzturk.com.tr;İstanbul;Esenyurt;Akçaburgaz Mah. Süleyman Şah Cad. No.2;(212) 8673000;(212) 8673318;genel.sekreterlik@daimlertruck.com;34522
9;44;Gramaltın Kıymetli Madenler Rafineri San. ve Tic. A.Ş.;2023;89.948.387.207;9;95.493.145.445;13;12;1.068.096.747;325;313;1.998.872.164;358;345;3.776.021.252;392;379;12.058.055;399;387;984.253.296;256;249;767.720;18;17;75;497;484;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.iar.com.tr;İstanbul;Bahçelievler;Merkez Mah. Ladin Sok. Kuyumcukent Apt. No.4/1235 Yenibosna;(212) 6030109;-;muhasebe@iar.com.tr;34197
10;5;Ereğli Demir ve Çelik Fabrikaları T.A.Ş.;2023;79.521.373.857;10;121.299.160.813;8;7;17.202.585.169;15;14;128.365.170.749;5;3;200.801.113.980;5;3;6.632.588.263;25;22;11.885.712.419;17;15;218.914;98;95;6.052;19;18;İstanbul Sanayi Odası;-;52,84;-;47,16;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.erdemir.com.tr;Zonguldak;Ereğli;Uzunkum Cad. No.7;(372) 3232500;-;iletisim@erdemir.com.tr;67330
